epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1
1,0.001,2.2483549058629,0.23301848874598072,0.26110724476946456,0.18717476389375387,0.25687403169602774,2.165432754035194,0.26238019169329074,0.22914343950662353,0.18774586728098508,0.2946559464507434
2,0.001,1.9294704049346532,0.31018890675241156,0.35494890960368775,0.25345514975886196,0.3410430001385496,2.1047521224037147,0.31389776357827476,0.3028573756217342,0.2293916953468948,0.35278168645292834
3,0.001,1.7793533351643676,0.336314308681672,0.40314065721944287,0.2822249580801422,0.36823200056407157,2.027138976243357,0.30710862619808305,0.3007988838659002,0.2322849986291361,0.3410333918429881
4,0.001,1.7092012679653537,0.35746583601286175,0.42068937796285655,0.29568249409859787,0.38859217541780006,2.0703384403984386,0.3250798722044728,0.30102735088178234,0.24825649658529117,0.36934373395643605
5,0.001,1.6994526697700048,0.3466639871382637,0.4296961203849663,0.29527660744695566,0.37662583498702157,2.3388446519930906,0.38298722044728434,0.22476356681046664,0.21275943388348081,0.3762502919452824
6,0.001,1.6583788527169794,0.32832596463022506,0.4349134658324515,0.2866624552897689,0.3561567128049368,2.1935804104462218,0.3494408945686901,0.2820447820421925,0.25606571549618784,0.3791546003073251
7,0.001,1.585914975193919,0.3615353697749196,0.4752480639187332,0.3149898252535845,0.38937495380657816,2.044220795456213,0.3426517571884984,0.32621639417976156,0.26936990972902075,0.37978830222020815
8,0.001,1.555468003178716,0.37273914790996787,0.47408943659029884,0.3209585362089564,0.4028774607097144,2.207741364598655,0.24560702875399362,0.3011452251232118,0.23242607400550858,0.2912589265902511
9,0.001,1.4877225593738617,0.38183279742765275,0.5010403057924002,0.3296135823021117,0.412875498840893,2.1317705102621938,0.33626198083067094,0.2764274669286204,0.2559812492420811,0.38130489917767085
10,0.001,1.4700814724639297,0.39519694533762056,0.5138544612641495,0.3404840445554203,0.42771707203901366,2.1744794495189534,0.34384984025559107,0.30675517822047416,0.27094381530410516,0.3828700628128074
11,0.001,1.4928499524424697,0.3840936495176849,0.5082417368192264,0.33275851077636864,0.4148619137192386,2.2058126683623644,0.28314696485623003,0.2866028120583513,0.22432206717352157,0.32634790502962907
12,0.001,1.428587323072639,0.397508038585209,0.5405637096236382,0.34606780886083266,0.42767105076540524,2.144325891194252,0.36182108626198084,0.3162400477637518,0.275021320056705,0.40034414867527224
13,0.001,1.431520756322088,0.40273311897106107,0.5321993543415279,0.34974067011810767,0.4317797097399425,2.173502815036347,0.3706070287539936,0.303590021742857,0.2705630750573595,0.41293871110999075
14,0.001,1.4326663040271526,0.395649115755627,0.5308290891032014,0.34279419475842327,0.4244587375327617,2.0769130635185364,0.3929712460063898,0.3439579815499665,0.2915510494385816,0.4236451978383299
15,0.001,1.3663269487416245,0.41358520900321544,0.5543499932212701,0.35813844346964674,0.4396218305659391,2.1339287912360017,0.29273162939297126,0.31272398287280984,0.2402701120411659,0.32979618492481777
16,0.001,1.338664596055865,0.42368368167202575,0.5663747826691989,0.3661222315114234,0.4513641366180955,2.2236472421560807,0.33506389776357826,0.29440717358483237,0.24706036377914573,0.3808430234022073
17,0.0005,1.340904011316238,0.41675040192926044,0.5759549313773417,0.36809204643707716,0.44230815559842396,2.1132429285933036,0.3678115015974441,0.3371399020870585,0.29035063011941686,0.40783032909844114
18,0.0005,1.200405036952718,0.4541298231511254,0.6250828837910085,0.4007415193156645,0.4776676739402178,2.1364795607499802,0.38378594249201275,0.317029211902016,0.29476256513978727,0.42729759232179887
19,0.0005,1.2108487070948364,0.4559385048231511,0.6212646768002424,0.40159289695161404,0.4810129674378703,2.1268515035081594,0.3654153354632588,0.3325608747328809,0.28367530358510074,0.41271067857735144
20,0.0005,1.1718166767113463,0.46447950160771706,0.6191990913048298,0.40432747485010967,0.48983376267917605,2.1607019628246373,0.3534345047923323,0.3342452623846819,0.2904166855897578,0.4001400850122942
21,0.00025,1.1855128988192396,0.4548331993569132,0.6259408913961646,0.4012437405168153,0.48043440380242947,2.2797129585529667,0.31110223642172524,0.328432940635784,0.24607488545654965,0.35494304373350366
22,0.00025,1.1410679054892714,0.4552853697749196,0.6455026855154293,0.4079148835837698,0.4776799282623173,2.2562666255445145,0.38258785942492013,0.33328433022894766,0.2866632028829479,0.41548812572624866
23,0.00025,1.0998758604672176,0.4762861736334405,0.6512470296000623,0.4230596863024335,0.49775197775436925,2.200786599740624,0.3821884984025559,0.33666354232658086,0.2887173169758459,0.4176616243884657
24,0.000125,1.1140548372910721,0.47874799035369775,0.6521201744474704,0.42426625516080463,0.5004806156923461,2.1955238269707458,0.33785942492012777,0.355759162919951,0.2779976066304414,0.3802671795642659
25,0.000125,1.0711277245612774,0.47673834405144694,0.6688961066760758,0.42729498810386457,0.4981318402550967,2.2484541181177375,0.3734025559105431,0.33778318197925705,0.2873603419936325,0.4129455261538158
