stage,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,lr
1,1,1.426787422592617,1.4015142167338168,0.5674920127795527,0.32471585803400105,0.30146513865994445,0.5335322138342976,0.001
1,2,1.269401095208631,1.4169820299544655,0.5694888178913738,0.22471713434599838,0.22060421457583465,0.4932377095039156,0.001
1,3,1.2125147217914607,1.3216086679373305,0.579073482428115,0.3205610160841552,0.3175588296027174,0.5221267870567817,0.001
1,4,1.1727017417214691,1.310067889979853,0.5958466453674122,0.3328259839920319,0.3292519182179622,0.5505561150248176,0.001
1,5,1.1413451254942792,1.1846826861079889,0.6417731629392971,0.35795474329639676,0.3690661927921327,0.608513359922303,0.001
1,6,1.1197988288387224,1.1175315639081473,0.6669329073482428,0.36793974844729915,0.3661046041584639,0.6265498191485875,0.001
1,7,1.1033083274241813,1.1315188941102439,0.6573482428115016,0.3615552723472688,0.3636193937855097,0.6183438396051173,0.001
1,8,1.0856582282823766,1.1312560201072084,0.6737220447284346,0.40881155274491404,0.38834063133170094,0.6371833462978139,0.001
1,9,1.0678160563350874,1.1072012039419181,0.6737220447284346,0.3823327931113496,0.37387351523425527,0.645053583797303,0.001
1,10,1.053903282359482,1.2323968859907157,0.6074281150159745,0.2779815928431433,0.2912552171514812,0.5530442360910055,0.001
1,11,1.03878311597266,1.1267102598763121,0.667332268370607,0.3990270255573759,0.3801668927124078,0.6398863361295418,0.0005
1,12,0.9888906739053236,1.1133139499079305,0.6597444089456869,0.4049454663456378,0.3846637331446363,0.6376327707224039,0.0005
1,13,0.9746768221594513,1.042951240421484,0.6884984025559105,0.39632235062522475,0.4111397125630627,0.6500973102915631,0.0005
1,14,0.9650687667334578,1.0963270092924562,0.661741214057508,0.38823086865527545,0.3963510255512226,0.627669589804971,0.0005
1,15,0.9555734115206543,1.0390654992752564,0.6924920127795527,0.4084808039605897,0.4049223456765223,0.6693398468865636,0.0005
1,16,0.9481182873632363,1.0865612279492827,0.6817092651757188,0.4150004787900635,0.4116984224744312,0.6609721315474544,0.0005
1,17,0.936695739387316,1.07778419777989,0.6721246006389776,0.42459176408331933,0.41663526592177114,0.6393122101557158,0.0005
1,18,0.926461969397459,1.1029029095325227,0.6773162939297125,0.3852300889175243,0.40452940273192933,0.6483844475629362,0.0005
1,19,0.917876934267317,1.1040839630955706,0.6693290734824281,0.4025641415062109,0.40451331022779413,0.644144157614846,0.0005
1,20,0.9070842646517554,1.1818443753848822,0.639776357827476,0.3810499706860442,0.36276737517199226,0.6210109190672922,0.00025
1,21,0.8794420630793863,1.0306053909059532,0.6924920127795527,0.41083534046504655,0.40743012384997535,0.6536991486242838,0.00025
1,22,0.8685763651247577,1.0320486145468946,0.6896964856230032,0.3796800470972369,0.40072263931373175,0.6619809905356995,0.00025
1,23,0.8600907466610912,1.0311696599847593,0.6956869009584664,0.4145067749222308,0.427834643739777,0.6634677882912263,0.00025
1,24,0.8531188260512337,1.0483030752061655,0.6861022364217252,0.3960861736784584,0.40695153837259135,0.6556737664338235,0.00025
1,25,0.8475783877434071,1.026921255996052,0.6960862619808307,0.4099468001428976,0.4230150004982651,0.6700024389389382,0.00025
1,26,0.8448668057608067,1.079556669861364,0.6841054313099042,0.3955446252711601,0.4105930583213383,0.6578769113228824,0.000125
1,27,0.8180577819657863,1.005303656807342,0.7024760383386581,0.4165500858412944,0.41400894992012355,0.6738827231686545,0.000125
1,28,0.817065463045019,0.9977095445124106,0.702076677316294,0.4135441369303683,0.42562250488445386,0.675285258441967,0.000125
1,29,0.8112861860028417,1.0304559962437176,0.6940894568690096,0.4039332997102598,0.4197922172597903,0.6687021591132655,6.25e-05
1,30,0.8023638914060746,0.9900905130008539,0.7052715654952076,0.4179721770499022,0.42305849623679825,0.6797190452346494,6.25e-05
2,1,1.685154124088226,1.308870920738854,0.6253993610223643,0.5386362597138358,0.43406078505728274,0.6514107291222424,0.001
2,2,1.2783719545583634,1.2891098813127024,0.6222044728434505,0.5424049629004268,0.4415288593952797,0.6527641643591947,0.001
2,3,1.2304261869172959,1.215159260045987,0.6481629392971247,0.5031302264265458,0.4497442991117614,0.6722334922905072,0.001
2,4,1.189564544096637,1.2530331325988038,0.6253993610223643,0.4895253295538481,0.43977217480801967,0.6563768313077037,0.001
2,5,1.1739586044546109,1.2058691932751349,0.652555910543131,0.5040399733108019,0.45334763664736133,0.6738463821898982,0.001
2,6,1.194323615150053,1.2430248820362761,0.6329872204472844,0.506167549005904,0.44837737810542766,0.6609903370404159,0.001
2,7,1.1756331545938632,1.2129363956542822,0.6449680511182109,0.513223275620786,0.44724550412172565,0.6653785294461163,0.001
2,8,1.161804524169474,1.2001178257000713,0.6429712460063898,0.4872909721168936,0.4473344102046469,0.668285209011972,0.0005
2,9,1.1420588910196372,1.1937231400523323,0.6505591054313099,0.5080415923314899,0.45227622196242023,0.669135603614551,0.0005
2,10,1.143923911730193,1.2094841871779567,0.643370607028754,0.5083304705468343,0.45118954091772273,0.6664494135459222,0.0005
2,11,1.158472105237832,1.2576607991331301,0.6325878594249201,0.5044463198856832,0.4424760506767046,0.6578208764889611,0.00025
2,12,1.1339232397424446,1.2266633822895086,0.6405750798722045,0.5018824414761064,0.44693369237733943,0.6637173825617884,0.00025
