epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,2.2087857688738217,2.0676108191188534,0.3270766773162939,0.2775165717873664,0.21077893785980162,0.33974771137140025,0.001
2,2.00169326053555,1.8549609096667257,0.46685303514376997,0.41040543311481725,0.2988600654438519,0.49365086840687644,0.001
3,1.9472057712039763,1.935513028702416,0.3753993610223642,0.39183458129897974,0.2979510537583876,0.43075545800305404,0.001
4,1.9036535318833072,1.6639116753023653,0.521964856230032,0.41135550470588456,0.3383925718278764,0.5263586758055808,0.001
5,1.8542848952905158,1.6819459733109885,0.5511182108626198,0.41502628608241665,0.3816695261927606,0.5821780707205378,0.001
6,1.8130382290798752,1.7237739608691522,0.4720447284345048,0.4311345308546236,0.31015777294760644,0.49561218654325495,0.001
7,1.788036787145774,1.675318404508475,0.5007987220447284,0.40938628592575127,0.34433557844983853,0.5157851014533621,0.001
8,1.7665046406520524,1.672998315610063,0.5934504792332268,0.3610953978808514,0.35720450476676147,0.6054064405249805,0.0005
9,1.6573177725555812,1.7313940681207676,0.5115814696485623,0.4013758158325841,0.33062853961037186,0.5426475889156379,0.0005
10,1.6524750571158922,1.5283276246378596,0.6361821086261981,0.4078193357109409,0.3906732637988052,0.6306500922638513,0.0005
11,1.629936176289316,1.5161683700336055,0.5990415335463258,0.4456027662777144,0.3980150009019351,0.6182062683070987,0.0005
12,1.6301032819356949,1.6031780639014686,0.5407348242811502,0.4872791460252612,0.39725473388447063,0.5895431742456624,0.0005
13,1.6101066217161835,1.5262217178893165,0.5742811501597445,0.4628652315861176,0.39697198091652997,0.6006994932721734,0.0005
14,1.5719450802281738,1.5936695641983811,0.5567092651757188,0.4859360802741461,0.3895504290200346,0.5883742725718208,0.00025
15,1.561304714327073,1.4766729506440819,0.6058306709265175,0.4866006449234579,0.4131485819904911,0.6248959766021892,0.00025
16,1.515823548821391,1.539448313057994,0.5575079872204473,0.4731525305359679,0.38887133048067246,0.590422253768784,0.00025
17,1.510532224293307,1.6237545954152799,0.4984025559105431,0.45116873135570124,0.3672168347244846,0.5409546329502228,0.00025
18,1.4986968082151229,1.4598781578837874,0.5898562300319489,0.4781755707917899,0.41562193649836443,0.59881394002907,0.00025
19,1.4863104084297007,1.4406226606795582,0.6026357827476039,0.48743412872385466,0.4159303333961881,0.6313340532136537,0.00025
20,1.4563527795758662,1.4251393616770784,0.6198083067092651,0.48982515377206454,0.41747533213191734,0.6368171274279658,0.00025
21,1.4725706607965794,1.4632785076531358,0.6214057507987221,0.49427501692245407,0.431584198330756,0.6469322009719041,0.00025
22,1.448632257975566,1.4835096616714527,0.5646964856230032,0.47717400800843307,0.39979590138256604,0.5988252385686254,0.00025
23,1.4524706986364444,1.483901900986132,0.579073482428115,0.4678391505825398,0.38231193610256065,0.5938141938223488,0.00025
24,1.4543850144006047,1.4475693866467705,0.6210063897763578,0.46505691218324474,0.39886311764770493,0.6245936979506171,0.000125
25,1.3881617509475475,1.4266432241890759,0.6238019169329073,0.4899589460928687,0.42654427730269623,0.6413661798267263,0.000125
26,1.395085427922068,1.4433343509515635,0.6042332268370607,0.5114200421938426,0.4313445985417679,0.6281113991218091,0.000125
27,1.3757905952177247,1.4315465776303324,0.6058306709265175,0.5230339065080021,0.43410675104972024,0.6357616291484424,0.000125
28,1.4006015529969882,1.4250006454821211,0.6034345047923323,0.4944108979932219,0.4222115757203508,0.6293928804560999,0.000125
29,1.3852380892184002,1.4072486626835297,0.6509584664536742,0.5159784323865335,0.45184076168375015,0.6634573292489645,0.000125
30,1.3512483609307233,1.4615574572413874,0.5766773162939297,0.47812523305455135,0.39571738485364905,0.6058554342105592,0.000125
