model,gamma,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
CNN + Focal Loss (gamma=2.0),2.0,train,0.7014161381642918,0.6112841639871383,0.6795396451012646,0.49763082839869854,0.6376877175944394
CNN + Focal Loss (gamma=2.0),2.0,validation,1.4394235838525973,0.604632587859425,0.47328136491755857,0.43788214078221344,0.6365625039358954
CNN + Focal Loss (gamma=2.0),2.0,test,3.320045022163569,0.5540435458786936,0.4685924068963665,0.4013318386407378,0.5796335956732365
