model,gamma,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
CNN + Focal Loss (gamma=1.0),1.0,train,1.2706223836953234,0.5881229903536977,0.5086379741303952,0.4248867031534053,0.6089946117766932
CNN + Focal Loss (gamma=1.0),1.0,validation,1.7048815878245016,0.5946485623003195,0.39642346701241127,0.39825844735581595,0.6154608552449791
CNN + Focal Loss (gamma=1.0),1.0,test,3.1753094174072123,0.562208398133748,0.4332875189458143,0.3608284408955643,0.5743875495337482
