split,accuracy,balanced_accuracy,macro_f1,weighted_f1
train,0.9690514469453376,0.9920927249804454,0.9810288876954859,0.9689784128950493
validation,0.6509584664536742,0.38505422486531277,0.3918342622655339,0.6344688973238721
test,0.6364696734059098,0.4160777270650436,0.4305155802297666,0.6186626516201152
