model,alpha,parameters,best_epoch,best_val_macro_f1,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,runtime_minutes
CNN_SmoothedWeights_alpha_0.25,0.25,392912,9,0.45644043082519486,1.1308287311213576,0.6863444533762058,0.4801004308025657,0.467882936447126,0.6639061276392905,1.2143665813028621,0.6813099041533547,0.4643980233916842,0.45644043082519486,0.653842856958221,1.2963636066086741,0.6380248833592534,0.4295893853852925,0.4098496645588186,0.6054148003267772,31.032900834083556
CNN_SmoothedWeights_alpha_0.50,0.5,392912,12,0.46092378593269684,1.1849941834567828,0.6613243569131833,0.5898246531401097,0.5053941606721017,0.6709645194568691,1.3349473141252803,0.6637380191693291,0.5087149807187099,0.46092378593269684,0.6649471318907074,1.4012149036579518,0.6236391912908242,0.5014565157281838,0.4421392709497377,0.6263891798081818,39.212312602996825
CNN_SmoothedWeights_alpha_0.75,0.75,392912,12,0.45778460247133557,1.1962664427289627,0.6632837620578779,0.6220572278892621,0.5195364850987776,0.6721845636164416,1.3874677427279682,0.6677316293929713,0.5107855205087231,0.45778460247133557,0.6697432757608949,1.4785644646565985,0.6236391912908242,0.5090921127238921,0.44147472093988993,0.625382255936062,40.52694886525472
CNN_SmoothedWeights_alpha_1.00,1.0,392912,25,0.45693804238052843,1.0013522583619958,0.6563002411575563,0.715535623275849,0.553422977226369,0.671846450611379,1.428542706151359,0.6477635782747604,0.4969332866663489,0.45693804238052843,0.6620218571082922,1.4946377507264654,0.6026438569206843,0.5061849172122042,0.4473588478832787,0.616541176109245,61.19777753353119
