split,accuracy,balanced_accuracy,macro_f1,weighted_f1
train,0.6652934083601286,0.8160652605063059,0.6712729282951342,0.6773697375572842
validation,0.5491214057507987,0.377997468949685,0.35730947528966167,0.577230173227543
test,0.5322706065318819,0.38784228622497174,0.3527709724269115,0.5571875969990355
