model,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
Multi-Scale CNN,train,1.181901800766635,0.6403235530546624,0.6351537561399758,0.502136532390493,0.6554719079695601
Multi-Scale CNN,validation,1.423724591541595,0.6441693290734825,0.4962452683290745,0.4459306624673374,0.6554852327595796
Multi-Scale CNN,test,1.5457019679839281,0.5983670295489891,0.4798623044516015,0.4161510137447715,0.6097966642626165
