epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1
1,0.001,2.127759944779313,0.3713323954983923,0.2973491773107989,0.227686065379067,0.3954345467299151,1.9130469792947982,0.48043130990415334,0.3095285844804265,0.243527797347895,0.4224549916078862
2,0.001,1.902874774679877,0.4559887459807074,0.3673679688061783,0.3011148629712357,0.4859169470367865,1.8609481832851618,0.41533546325878595,0.4103121626777313,0.3018719880077701,0.438727405067496
3,0.001,1.8188913919726368,0.4762861736334405,0.39245605787776827,0.32033663123045464,0.5058171832477679,2.0377964920129257,0.31309904153354634,0.37158537591754043,0.27917774689401176,0.372992315797223
4,0.001,1.7654974567928499,0.48764067524115756,0.4129035400457038,0.3334823474023504,0.518171207477676,1.6587498816438377,0.5623003194888179,0.4159813428733359,0.36736182077343704,0.5734456094114334
5,0.001,1.7143591004169256,0.4958802250803859,0.4313877596971245,0.3477896292196092,0.5267546236027602,1.6698999359203985,0.4764376996805112,0.4052155775110474,0.33961389732725966,0.5073543893077708
6,0.001,1.6605179100941232,0.513766077170418,0.46065474602761136,0.3671820892930972,0.5431727823009044,1.6085193732295173,0.5411341853035144,0.4613108224446219,0.355671845965959,0.5597337645065104
7,0.0005,1.6322597292075203,0.5110530546623794,0.44993980693920504,0.36018646105734803,0.5432517274081464,1.6399017043007067,0.5383386581469649,0.42535322429628114,0.34552153723906587,0.5703590691919238
8,0.0005,1.5439214178411906,0.5382837620578779,0.4910536493842534,0.38989330455154814,0.5679669843608353,1.5219673421055364,0.6238019169329073,0.4508072382490457,0.41935016090881044,0.6332970187573349
9,0.0005,1.4971672758412131,0.5423532958199357,0.5070703030987278,0.4004540862760677,0.5703369381018799,1.671673965911134,0.5467252396166135,0.4280373614682138,0.36752683849722523,0.5783233972386141
10,0.0005,1.4678274516699015,0.5491860932475884,0.5293463078177519,0.41061522447397136,0.5772502465232584,1.5953621331114358,0.6329872204472844,0.4200318700511546,0.3917361075597253,0.6230368014139872
11,0.00025,1.4573647218885146,0.5603396302250804,0.5246631559098146,0.41461775979011384,0.5868536235625463,1.5146266355301246,0.6281948881789138,0.43720149659505525,0.40695105976511925,0.6383843999985583
12,0.00025,1.4152604197286716,0.5618468649517685,0.5331357092334844,0.42242283840702777,0.587313241303122,1.4588649981318953,0.6210063897763578,0.4979351142342414,0.4302234415625916,0.6397312905054988
13,0.00025,1.3846782916180573,0.5668709807073955,0.5569011879318948,0.43209316603323744,0.5929950374003732,1.4529608339547349,0.619408945686901,0.4776333560388172,0.4219841519507126,0.6373384718374838
14,0.00025,1.3724435656496183,0.5734525723472669,0.5725262758813079,0.4392778889507365,0.5988564669841278,1.4787053985717578,0.6090255591054313,0.48269256502098534,0.4156731665315209,0.6313758221393704
15,0.000125,1.3660178526613107,0.5747588424437299,0.563150367957791,0.43883905209613744,0.5995893265035827,1.4657666557513105,0.6126198083067093,0.48889998278471986,0.4150921014408284,0.6324294897996291
16,0.000125,1.3172250074780638,0.5787278938906752,0.574086290016917,0.4409596018047571,0.604103088774011,1.453713360685891,0.5782747603833865,0.4775250591370531,0.4066095199361337,0.6116303915651397
17,0.000125,1.3154590664090067,0.5809385048231511,0.5913061367415391,0.452834123516474,0.6045877382300627,1.4476783073748263,0.5806709265175719,0.47184348073302973,0.41134262285267204,0.6102863267621833
18,0.000125,1.3024223832790875,0.5891780546623794,0.5852568646514974,0.4568049214385296,0.6121590125586112,1.3986640197400468,0.6170127795527156,0.4988648985729831,0.4332280902964599,0.6356383201865542
19,0.000125,1.290802294657928,0.588725884244373,0.5870647957072436,0.4589818172934969,0.6121729600739222,1.4177355655846886,0.5994408945686901,0.4799483658880814,0.4168422804802169,0.62955307981879
20,0.000125,1.2779433665455728,0.5836515273311897,0.5981901039892104,0.461516415983107,0.6069770106417847,1.395017526781978,0.6405750798722045,0.49455584806132147,0.43846444284815367,0.6580675656711966
21,0.000125,1.2886894531667807,0.5842041800643086,0.6027306748942777,0.45852458366296206,0.6081510844458979,1.407378279743865,0.6178115015974441,0.48643133704678054,0.43341718915733696,0.6394709328053414
22,0.000125,1.272843930882273,0.5858621382636656,0.5972571549910685,0.45787884597884804,0.6103090803235026,1.4113728143155766,0.5942492012779552,0.49798864907861284,0.419406930040791,0.6211065047715569
23,6.25e-05,1.2633199825930825,0.5855104501607717,0.5989887076245698,0.459564964271609,0.6100554462984801,1.405716653449086,0.6277955271565495,0.5031977072341024,0.4321154376041052,0.644668237718646
24,6.25e-05,1.2249062381852478,0.5946543408360129,0.6252401903408571,0.47623511101447885,0.6168709858313517,1.3762812991492666,0.6421725239616614,0.4842352313696081,0.42704555833397106,0.6528937658856835
25,6.25e-05,1.2392232005523331,0.5932475884244373,0.6254931001648129,0.47552362401296094,0.615834930259869,1.3893155632689358,0.6389776357827476,0.5010256631919892,0.4474706173012366,0.6542662406370696
26,6.25e-05,1.237352320211685,0.5957596463022508,0.6186077659748859,0.47782321299314934,0.6174844812834387,1.395059055413682,0.6269968051118211,0.5006462402101144,0.43574829792114317,0.6493875089538815
27,6.25e-05,1.2253537721860064,0.5912881832797428,0.6255106245277451,0.4761226377132167,0.6137499128006224,1.4019596805206884,0.6142172523961661,0.4933162838804269,0.4306158650645279,0.6393960847071374
28,6.25e-05,1.214583793804768,0.5981209807073955,0.6284367937700304,0.47596367667100986,0.6204309459119752,1.3800040692947924,0.637779552715655,0.5022908044429264,0.4493597374416357,0.6555693403942564
29,6.25e-05,1.2062562287716236,0.5983721864951769,0.6298335691370432,0.4839652585181049,0.6212203468717058,1.3769520711594117,0.6425718849840255,0.505148451805884,0.4442932195535764,0.6565647240831051
30,6.25e-05,1.2200542808154005,0.5939509646302251,0.6199797651390786,0.4744973936659602,0.6163209148457415,1.3946449661407228,0.6246006389776357,0.49382947347469086,0.4274419557100278,0.6447208770674753
