model,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
CNN + Balanced Sampling,train,0.4903787980245432,0.8453577170418006,0.845032805595676,0.8436061972901868,0.8441593149121541
CNN + Balanced Sampling,validation,1.133670775654217,0.6585463258785943,0.49972366697105314,0.4757923075811074,0.670973265427863
CNN + Balanced Sampling,test,1.328883572648139,0.6279160186625194,0.47944995349823966,0.44523128455421,0.6381120132860202
