epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,epoch_time_seconds
1,0.001,2.2760999110733966,0.2873291800643087,0.23712968284888786,0.17016864666578702,0.28367801799842507,2.0650782105260004,0.36022364217252395,0.31414844185913554,0.20220905418239435,0.3440452096126299,133.18280696868896
2,0.001,2.051279120027444,0.3672628617363344,0.3143947218841505,0.23935265118827934,0.3720764886626747,2.0336464982444107,0.3194888178913738,0.3450965984338954,0.2117670385546112,0.30746968987229684,115.49965405464172
3,0.001,1.9278632504955366,0.40976688102893893,0.35330310339410315,0.2752283350829131,0.4273111857984795,1.7607915134856496,0.536741214057508,0.42135902214425813,0.3400475870856085,0.5408178094891725,115.34900832176208
4,0.001,1.8423602501487426,0.4515172829581994,0.3772853209307386,0.3000172203654484,0.4751920591840887,1.8705810792149065,0.4604632587859425,0.3810331567459509,0.30765022275249027,0.494139486412374,115.6386935710907
5,0.001,1.7619532889108567,0.4840735530546624,0.40409608466168795,0.3235577501140706,0.5101725736887108,1.7156201243019713,0.5351437699680511,0.4051488781452169,0.3407202973182828,0.5600155974355537,115.7676453590393
6,0.001,1.6933462632239056,0.4906049035369775,0.4228117214035032,0.33974323135207307,0.5224565668386251,1.7103722217364814,0.5079872204472844,0.4155871182967346,0.32485821128757575,0.5296365479669775,115.73702764511108
7,0.001,1.663405625670669,0.5138665594855305,0.4320763922914952,0.3535980862780955,0.5450845961279689,1.6259197308994329,0.5171725239616614,0.46144433507866356,0.3578508454806029,0.540940529237524,115.96550250053406
8,0.001,1.6037523139903016,0.5211012861736335,0.4522901233272161,0.36674559385831945,0.5521732756580389,1.582155938346546,0.5834664536741214,0.45660072826370096,0.3712264195831839,0.599986146841914,116.01150631904602
9,0.001,1.5675054136004862,0.5299939710610932,0.46765324009921466,0.37501282337524144,0.5614096809179399,1.8019250795102348,0.46086261980830673,0.442137612691368,0.3342194238726312,0.4959791137801671,116.33586597442627
10,0.001,1.5486913736418513,0.5329581993569131,0.4773784300222449,0.37928339547713597,0.5644086494438956,1.788064992465912,0.4325079872204473,0.4051724051599899,0.3341684929185127,0.4850922355253532,121.74764108657837
