gamma,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,learning_rate
2.0,1,1.9338562445912715,1.8655319006298297,0.36142172523961663,0.3215768738554343,0.20781029854892746,0.34697881829507293,0.001
2.0,2,1.683818708087087,1.6757241464651431,0.4325079872204473,0.38931998409299523,0.2796956391009893,0.48033780379898744,0.001
2.0,3,1.5297258101475584,2.448349149844136,0.11421725239616613,0.22151085122766426,0.12516337385344156,0.10646395989990157,0.001
2.0,4,1.5439626000031015,1.501629049976032,0.48282747603833864,0.3332512595814495,0.32426261480065555,0.5255155022132999,0.001
2.0,5,1.4509904906393247,1.4906246852570069,0.3993610223642173,0.3570058300513371,0.31786464475096227,0.4660053751579211,0.001
2.0,6,1.384134642660043,1.4297311955366652,0.5351437699680511,0.42661906985323916,0.35572692356850727,0.5574748683891875,0.001
2.0,7,1.3357773563102895,1.4417462598401518,0.5363418530351438,0.42754042430090256,0.37675576565474134,0.5658467820172814,0.001
2.0,8,1.321257626847439,1.4073042648668868,0.547923322683706,0.4057321429950195,0.3658522662023903,0.5807084389222851,0.001
2.0,9,1.2965038183034425,1.5685938745261,0.47084664536741216,0.3663879223796544,0.30750464365227037,0.505084477851051,0.001
2.0,10,1.2379069502234843,1.5030058837070253,0.5938498402555911,0.3761692512796838,0.38685189016896193,0.6064425752095426,0.001
2.0,11,1.2039131846075273,1.462412843308129,0.5654952076677316,0.41803929496507836,0.37255730458198877,0.5988718102571996,0.001
2.0,12,1.1994957907119363,1.4045865415765073,0.5195686900958466,0.44016842746933693,0.38982726489256025,0.5681491559765217,0.001
2.0,13,1.1480994033372671,1.4660961237578347,0.5443290734824281,0.4464455434208695,0.39237282923671085,0.5862308597330701,0.001
2.0,14,1.1367388403109033,1.4301645182572995,0.5491214057507987,0.4706527771177635,0.3752501179859888,0.579901991360348,0.001
2.0,15,1.115872656656998,1.5424174367429349,0.4820287539936102,0.3856155874146739,0.3278369971349073,0.5348388561995578,0.001
2.0,16,1.0689211746504068,1.5949463992834854,0.3961661341853035,0.39545521354668994,0.34406085973343836,0.48133907803199977,0.0005
2.0,17,0.9978340232199795,2.1748009988675103,0.21725239616613418,0.2791969824276642,0.22404210964135782,0.24557465538813816,0.0005
2.0,18,0.9850042105391861,1.4054042162796179,0.5626996805111821,0.4580316136622711,0.39255983313477244,0.5957780945733178,0.0005
2.0,19,0.9382090551772685,1.3962440226024713,0.5359424920127795,0.4452042587360443,0.3878848693672698,0.5859649159526349,0.0005
2.0,20,0.9133637991173857,1.4505586824097192,0.5806709265175719,0.4642164920370393,0.40194613269935126,0.6076752376768148,0.0005
2.0,21,0.9030394271447344,1.4126966279535629,0.5187699680511182,0.43706581916866166,0.3958491369154706,0.5777570952128656,0.0005
2.0,22,0.8831224528731257,1.4931806596323325,0.46685303514376997,0.4542312869778809,0.3634379162722202,0.5232675052530111,0.0005
2.0,23,0.8672699320737955,1.3895976613885679,0.5567092651757188,0.4465920598882683,0.36901158284614877,0.5801940463707914,0.00025
2.0,24,0.8201187815744777,1.5134141157610348,0.6182108626198083,0.48241822814879665,0.42074351474228744,0.631640125655972,0.00025
2.0,25,0.7971140253103047,1.4394235838525973,0.604632587859425,0.47328136491755857,0.43788214078221344,0.6365625039358954,0.00025
2.0,26,0.7994847084212916,1.4485897160947514,0.5662939297124601,0.4735631981214966,0.4021379958230949,0.6032657188863447,0.00025
2.0,27,0.7937723209907771,1.3649695722249369,0.5634984025559105,0.465268871442827,0.404288898227801,0.6069629392496859,0.00025
2.0,28,0.7842210473259162,1.3967852268736964,0.569888178913738,0.4681309931684551,0.41164539897555585,0.6007548393756359,0.000125
2.0,29,0.755429227539964,1.4220344236674018,0.5958466453674122,0.484259997142059,0.4161886207275829,0.6236271295663299,0.000125
2.0,30,0.7419764219133417,1.5173543377425343,0.5575079872204473,0.4717259863559673,0.3986449114366948,0.5949058715241043,0.000125
