gamma,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1.0,1,2.118973547335223,1.9866855067376512,0.3250798722044728,0.3065122473373355,0.20576337632416927,0.32082458060015384,0.001
1.0,2,1.8662962902972169,2.004242114270457,0.25599041533546324,0.31438257562966276,0.1797076109947614,0.3073834890797349,0.001
1.0,3,1.7198566645862972,1.9559815272736474,0.27675718849840253,0.32394598554070686,0.2444306879512056,0.3261730299792274,0.001
1.0,4,1.7071213713604538,1.6645439531856452,0.4504792332268371,0.3802582075785188,0.3377088558231306,0.4850164875212718,0.001
1.0,5,1.6130879415959791,1.8366077295697916,0.39696485623003197,0.39645496117641216,0.30547077427467356,0.4466173124692369,0.001
1.0,6,1.5495891920814944,1.581447513910909,0.5327476038338658,0.44182895254576476,0.3494123719850921,0.5529840899181303,0.001
1.0,7,1.5039726729082525,1.6324258559999374,0.5171725239616614,0.4197719379861334,0.35948145052144836,0.5556647084698159,0.001
1.0,8,1.4874525112354486,1.6109961658811416,0.5806709265175719,0.4152018026194054,0.37009995086789543,0.6013453185014079,0.001
1.0,9,1.4567444105048655,1.7704924521164391,0.5615015974440895,0.38063345349129696,0.3412538153282847,0.5792850646012462,0.001
1.0,10,1.392233488164914,1.7048815878245016,0.5946485623003195,0.39642346701241127,0.39825844735581595,0.6154608552449791,0.001
1.0,11,1.3709112457044639,1.6233584638982534,0.5626996805111821,0.4197958282637244,0.36624157761732756,0.59422114092278,0.001
1.0,12,1.3583491367925784,1.7459294047599403,0.5491214057507987,0.3986505279816865,0.36849112242103543,0.5826343961516279,0.001
1.0,13,1.2990381282146337,1.6990081210867665,0.512779552715655,0.45155875966765147,0.37608690025999897,0.5663519721643152,0.0005
1.0,14,1.2155523588132244,1.629836666698273,0.5515175718849841,0.47115765588940967,0.380112475192459,0.5853901529557272,0.0005
1.0,15,1.1685583247919942,1.692695509606657,0.5251597444089456,0.4306236518875479,0.36080780447550265,0.5694849448042257,0.0005
1.0,16,1.1415497081839387,1.7775622223512815,0.48522364217252395,0.43197926890097754,0.37600392090529927,0.5488800802771087,0.00025
1.0,17,1.1001329660607304,1.8825065076541596,0.3502396166134185,0.34100717273564773,0.29708966524893365,0.4174086029149136,0.00025
