alpha,epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1
0.75,1,0.001,1.9877106718886703,0.491258038585209,0.3085749503959766,0.27495251155967715,0.48675824350776675,1.8640149633724468,0.48322683706070285,0.29695039659904315,0.23397311578731828,0.45992889369161644
0.75,2,0.001,1.7763967239971712,0.5482315112540193,0.3710048951616858,0.33356887355609505,0.5505935172337795,1.829696229281136,0.5067891373801917,0.38201730448691423,0.3432138050453475,0.4956635784417083
0.75,3,0.001,1.6842415830138413,0.5640574758842444,0.4028980235111356,0.35975652510243056,0.5709064602759841,1.6174894731265668,0.5714856230031949,0.4449534953262757,0.3823062892698438,0.5876105325957839
0.75,4,0.001,1.6417948101494473,0.5751607717041801,0.4247614583165952,0.37588865961212836,0.5824578082209839,1.562793628095438,0.6178115015974441,0.403510213696694,0.39102370783487894,0.6073721073362199
0.75,5,0.001,1.595237500989552,0.5802351286173634,0.43551325043705863,0.3858950541148721,0.5885872641968384,1.5036533450166258,0.6373801916932907,0.43429153060119624,0.4212742318939753,0.6383466604149448
0.75,6,0.001,1.5550202734025729,0.5904340836012861,0.43990368186270323,0.3915925561350325,0.5996857956513708,1.4776831709157925,0.6253993610223643,0.46682628744328364,0.40862175227970243,0.6106985345224971
0.75,7,0.001,1.5107703633438736,0.5955084405144695,0.4678703437704322,0.41075817080134863,0.605690293831422,1.4688969465871207,0.6110223642172524,0.4554182160815401,0.3987145597561945,0.6215618677394059
0.75,8,0.0005,1.4815163857683875,0.6003818327974276,0.48534229650027316,0.41982893520497766,0.6107688361501471,1.5064761509148838,0.6425718849840255,0.40513269731637824,0.4074521338269975,0.6284935893182528
0.75,9,0.0005,1.3933348225435644,0.6150020096463023,0.5057598517214807,0.4454749284251928,0.6251353252368799,1.560700190714754,0.5970447284345048,0.45268385876593936,0.39715837446266444,0.6042930645692547
0.75,10,0.0005,1.367503609112988,0.6222869774919614,0.5158318513981576,0.45022163912570834,0.6330687941435851,1.4336449368693196,0.6597444089456869,0.40486823220535284,0.3904801946842229,0.64491575421921
0.75,11,0.00025,1.3441353933795854,0.6268086816720257,0.5447584216023461,0.4692139672913977,0.6372164369591675,1.4193407845573303,0.6733226837060703,0.42122510931709817,0.41754936540956955,0.6678056396612769
0.75,12,0.00025,1.306209523961475,0.6311796623794212,0.5522845485130595,0.47872068379496857,0.6415612333678028,1.3874677427279682,0.6677316293929713,0.5107855205087231,0.45778460247133557,0.6697432757608949
0.75,13,0.00025,1.2820312702770784,0.6408762057877814,0.5767745186034339,0.49360186676101536,0.6510314992458818,1.3620125767521964,0.6633386581469649,0.4821648643921401,0.44119707489698623,0.6654185612276732
0.75,14,0.00025,1.2574677620670036,0.6463524919614148,0.5901950779394505,0.5053154768110786,0.655602796551575,1.3891583757278638,0.6485623003194888,0.491512520760631,0.43796010848682876,0.6572754265952825
0.75,15,0.000125,1.2477312971541352,0.6403737942122186,0.5789742052742091,0.49452580486971653,0.6506887065869054,1.3705892022044515,0.6509584664536742,0.49502846475567797,0.43874373865813776,0.654793978281739
0.75,16,0.000125,1.2196054039852413,0.6492664790996785,0.5971118831672935,0.508340363580258,0.6593709124549215,1.3567344445390062,0.6521565495207667,0.49296907711371357,0.4508695400185222,0.662407999856662
0.75,17,0.000125,1.2064299786589154,0.6522809485530546,0.5983052976029228,0.5143461642553486,0.6614613209871598,1.3623573414433878,0.6529552715654952,0.4622435223914314,0.4311336940921586,0.6611342717875828
0.75,18,6.25e-05,1.2078905765841628,0.6503717845659164,0.6017410245305959,0.5196258722434333,0.6587607703486964,1.3370013503601756,0.6593450479233227,0.46424388191456273,0.44124086179886984,0.6622750291185835
0.75,19,6.25e-05,1.17625593386854,0.654391077170418,0.6006217443646824,0.5193815951634435,0.6627378627173484,1.3359781530337593,0.6649361022364217,0.4918632181056352,0.4526500736773342,0.6721390889527116
