epoch,train_loss,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1,lr
1,2.440888652655856,validation,2.1915590942096403,0.240814696485623,0.2418736204619726,0.17656993535037904,0.26073296022893766,0.001
2,2.1330013976603075,validation,2.13181805915345,0.3314696485623003,0.31700925939320185,0.19224642957215893,0.32610220845323845,0.001
3,2.0844890549060233,validation,2.022547550094775,0.3258785942492013,0.3018296136527684,0.20919151448232226,0.34999481186642445,0.001
4,2.0741659508257433,validation,2.099454242962237,0.38338658146964855,0.2574805829484719,0.21896566615436416,0.40993732336255434,0.001
5,2.088751434513227,validation,1.8918191419241908,0.4508785942492013,0.3391658523619834,0.27523988984099307,0.46701449936377765,0.001
6,2.0428637038089836,validation,1.909771394424926,0.49440894568690097,0.350401423777992,0.27771225463979377,0.49753218429011575,0.001
7,2.045215341343374,validation,2.065043626501918,0.3813897763578275,0.3395250971987497,0.24778558083647023,0.4107972963657859,0.001
8,2.1851130607043814,validation,2.244979325955668,0.347444089456869,0.29962995643371987,0.16039125620648118,0.30413103621262105,0.001
9,2.155407446852834,validation,2.167485472112418,0.30910543130990414,0.27861622257029006,0.19867704291571725,0.33588178159582427,0.0005
10,2.071436347972925,validation,2.0675080774691157,0.3698083067092652,0.3289389944255071,0.24171030551930436,0.3676339438579916,0.0005
11,2.0526679374780685,validation,2.0536845846298024,0.44009584664536744,0.33375574130464425,0.23956159328968527,0.4365182112241383,0.0005
12,2.036100099516068,validation,2.0482775806999816,0.3789936102236422,0.3188820943794728,0.22819579902674464,0.40386777740208635,0.00025
13,1.9828825275805986,validation,1.9543104689723005,0.38937699680511184,0.3394338928790226,0.24894188450918103,0.4101861568660839,0.00025
