split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
train,0.9278625368449083,0.6446945337620579,0.7361813857101744,0.5975754261511468,0.6598463532601742
validation,1.5570282540001428,0.6138178913738019,0.4809214233787439,0.4398390937579304,0.627512208290934
test,1.6192566694034203,0.5750388802488335,0.45647695382210546,0.4116153950235817,0.5918778905046331
