split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
train,1.9386560316062817,0.47452773311897106,0.35411894046438686,0.2835229843984701,0.48129715660700456
validation,1.909771394424926,0.49440894568690097,0.350401423777992,0.27771225463979377,0.49753218429011575
test,1.9111582014831376,0.4860031104199067,0.3679505558113628,0.2767094297553998,0.48448923985656855
