epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,lr
1,2.1628535974447365,1.8815429184002617,0.4792332268370607,0.34717458758156106,0.27216021833913145,0.48033433890080357,0.001
2,1.9091682042147953,1.7990199361746304,0.5323482428115016,0.40581244545402323,0.34326201398941364,0.5436707553221586,0.001
3,1.8125144793289651,1.6607249301081648,0.5646964856230032,0.40439381171325456,0.36826771756185434,0.5771345363801165,0.001
4,1.7490713771708142,1.6414799507433615,0.5199680511182109,0.4174472125611098,0.3443208581192527,0.5226169898036653,0.001
5,1.7049457781567834,1.652022954754936,0.5690894568690096,0.45145537924517404,0.3761760865942855,0.5757881010586027,0.001
6,1.6659719598063318,1.6026094192133162,0.5982428115015974,0.45278328115107025,0.423967725131152,0.6067686131947259,0.001
7,1.6363836204890654,1.9741411970827145,0.40934504792332266,0.3669174618075241,0.2639611722408325,0.463168094423764,0.001
8,1.5951119463926726,1.6648119550924332,0.610223642172524,0.44126789125418275,0.3951301979916897,0.6142076466836236,0.001
9,1.5606981675916163,1.6064065260628162,0.5559105431309904,0.4536047309644273,0.385614869936897,0.5873592776878631,0.0005
10,1.467449364171534,1.491222148886123,0.6285942492012779,0.43703938195300934,0.40685200707082625,0.6373943819786947,0.0005
11,1.436600419869377,1.461859387711595,0.6110223642172524,0.4961161726253951,0.4236094527309992,0.6322950251306729,0.0005
12,1.3992777097359348,1.4841882679789973,0.6134185303514377,0.45092682070262474,0.4132020161321618,0.621382034762214,0.00025
13,1.3637549042989203,1.480822894139031,0.6146166134185304,0.47731113459565894,0.4327568093337874,0.6397108396209342,0.00025
14,1.3390075228030276,1.5585311144685592,0.560702875399361,0.47634846300999734,0.40723242036594637,0.6032905998037618,0.00025
15,1.3084892648305158,1.423724591541595,0.6441693290734825,0.4962452683290745,0.4459306624673374,0.6554852327595796,0.00025
16,1.2949307501507725,1.4742022691824186,0.5487220447284346,0.46449329040392057,0.3905569966731882,0.5786012291622129,0.00025
17,1.2803918472536124,1.4189486541687109,0.615814696485623,0.4877962760435126,0.4305190603275197,0.630834541705682,0.00025
18,1.2729251318135062,1.4405794322681122,0.6094249201277955,0.4811552335136103,0.4132204756406015,0.6369954089673082,0.000125
19,1.2395463212126705,1.4191533026222984,0.6277955271565495,0.4947391537899088,0.4317028677296837,0.646134193767515,0.000125
20,1.2477656799066106,1.4039299929865634,0.6465654952076677,0.4890418645853012,0.4457988081658576,0.6582267932076624,0.000125
21,1.2170590558763101,1.4132908350362565,0.6246006389776357,0.4913679067908856,0.43118784820066447,0.6405400060222847,6.25e-05
22,1.1989368876843591,1.3925618573118703,0.6465654952076677,0.49509692205923195,0.4431168397721381,0.6588707466255199,6.25e-05
