epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.8484536528204032,2.55768606837946,0.18210862619808307,0.24359179054702984,0.2274598090734692,0.2585174490025738,0.001
2,1.4988623034340776,1.8293522584933442,0.4353035143769968,0.4042299514945619,0.3260186710955825,0.4993611566739698,0.001
3,1.359947100808766,1.768107303796104,0.4580670926517572,0.42047366945636,0.32855684929599505,0.4935216351839316,0.001
4,1.2402637211839487,1.6761386015544684,0.46166134185303515,0.41782723423081625,0.30962834835718156,0.4966515595735308,0.001
5,1.1332673294367896,1.6501500432293255,0.4604632587859425,0.4053540304993496,0.3247892450343019,0.4776702236932659,0.001
6,1.0512375698403913,1.370078343172043,0.5850638977635783,0.3920255151844142,0.37895678062161914,0.6057791177847548,0.001
7,0.9973879514974796,1.7491990362112515,0.4500798722044728,0.41718431912755555,0.33043819706921096,0.4922911995584844,0.001
8,0.9512736474873552,1.669920473433912,0.4520766773162939,0.39433690079533845,0.3333420186138597,0.4905846062305542,0.001
9,0.9151345661023805,3.5938507893595832,0.2012779552715655,0.22708373420920366,0.20542525330925548,0.278137987884743,0.0005
10,0.821150616290485,1.220739456792228,0.646964856230032,0.4280934304633504,0.41152261847031274,0.6453594416437058,0.0005
11,0.7840963150239834,1.1612859812026588,0.6461661341853036,0.4303864184773452,0.4405240189147819,0.6645762275560004,0.0005
12,0.7755048813543902,1.4279215151128677,0.5674920127795527,0.4637640013091915,0.37726469655939937,0.5882296632498057,0.0005
13,0.7602542669443455,1.494788911015081,0.5499201277955271,0.40495520754189884,0.36833169620586187,0.5947957032442892,0.0005
14,0.73389149162547,1.4663109345177112,0.5539137380191693,0.4138698188535157,0.36136762012687673,0.5791304006304889,0.00025
15,0.6994280210453597,1.399684596747255,0.5758785942492013,0.47969642046763494,0.4152319010150755,0.6093473204091042,0.00025
16,0.6751663067237357,1.1112293496299475,0.6621405750798722,0.49323364345674836,0.47181270600784603,0.6717820022111557,0.00025
17,0.6720489634865733,1.2150703851407327,0.6285942492012779,0.48466063727755454,0.44477521932548386,0.6425093292323002,0.00025
18,0.6629486708779043,1.3303315311955948,0.5962460063897763,0.5133299026410212,0.43287387988517556,0.6124068247865795,0.00025
19,0.6489611655186227,1.3160331740546911,0.6002396166134185,0.5148594839907674,0.43777691288000775,0.6220425450204558,0.000125
20,0.6224156017280468,1.1672141430096123,0.6441693290734825,0.5102379257892027,0.4745078623462618,0.6564841768064775,0.000125
21,0.612800254267895,1.1852692438009829,0.6401757188498403,0.44521250742293017,0.4192842530869165,0.6550398366639653,0.000125
22,0.6073772580246066,1.1968231955275368,0.6218051118210862,0.47706387407468165,0.4364326188236786,0.641624871032305,0.000125
23,0.6164082848134531,1.1912974819969446,0.6353833865814696,0.517671145650093,0.4502524366382259,0.6510940702816411,6.25e-05
24,0.5951594125563309,1.1532647937250595,0.6413738019169329,0.5088619512317349,0.47355304351731364,0.6582096008811452,6.25e-05
25,0.5850051081353062,1.133670775654217,0.6585463258785943,0.49972366697105314,0.4757923075811074,0.670973265427863,6.25e-05
26,0.585921365420343,1.1469816552183498,0.645367412140575,0.4965304588060638,0.46358540118478647,0.6600659051423291,6.25e-05
27,0.5990191198334434,1.1319688737582856,0.6465654952076677,0.48348146300707845,0.4636727235603361,0.66232963522563,6.25e-05
28,0.5726475104497943,1.1330806580595314,0.6569488817891374,0.49389822357246566,0.4683543676923517,0.6685090723394985,3.125e-05
29,0.5676424855252554,1.1287762539836164,0.6513578274760383,0.5021763622609109,0.47309674140588875,0.6668743429862204,3.125e-05
30,0.5814190481780426,1.157671819860562,0.6465654952076677,0.47824687721682047,0.45516244792339217,0.663168045621672,3.125e-05
