model,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
CNN + Mixup,train,1.0555089052610842,0.6490655144694534,0.6975249507645165,0.540004533551913,0.6636883925642507
CNN + Mixup,validation,1.4072486626835297,0.6509584664536742,0.5159784323865335,0.45184076168375015,0.6634573292489645
CNN + Mixup,test,1.500252518275663,0.609253499222395,0.524469763971856,0.4439851276458903,0.6222655964211488
