model,gamma,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
CNN + Focal Loss (gamma=3.0),3.0,train,1.0014379909232114,0.574959807073955,0.48466291070254486,0.4107344683952017,0.5957044485267485
CNN + Focal Loss (gamma=3.0),3.0,validation,1.3606925670521708,0.5886581469648562,0.39903682174162763,0.3893235573591962,0.6059106470799905
CNN + Focal Loss (gamma=3.0),3.0,test,2.8535835790226285,0.5555987558320373,0.42932083192295767,0.35269503298448796,0.5630087052556793
