gamma,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,learning_rate
3.0,1,1.7868942065925078,1.6509901077602618,0.3586261980830671,0.31492537079159094,0.21693125221616621,0.36337192161397663,0.001
3.0,2,1.5489796055570677,1.5987226719292589,0.3011182108626198,0.33045425654682525,0.20791354287182828,0.36156659982712186,0.001
3.0,3,1.3950716071190175,1.6683726623035466,0.1992811501597444,0.24604921283328374,0.1954316635039089,0.23767137951302428,0.001
3.0,4,1.3914804681416877,1.3067897994297382,0.4536741214057508,0.35887400472929065,0.3381944602303115,0.5004766674907932,0.001
3.0,5,1.2969520754656991,1.4077111981547297,0.3981629392971246,0.3826669814916252,0.30675085100874333,0.457856289587733,0.001
3.0,6,1.239572472990134,1.2803316862819294,0.5023961661341853,0.41829468235725753,0.3383952236873914,0.5280752962470688,0.001
3.0,7,1.1880361757861073,1.2746096827542057,0.5099840255591054,0.42799371761479954,0.3631260887188319,0.5491299183040512,0.001
3.0,8,1.1896907745641911,1.2349505851063103,0.5179712460063898,0.411826197590068,0.3608474469707057,0.5594028345743455,0.001
3.0,9,1.1740996068601057,1.3667245556752141,0.45686900958466453,0.3679448007316928,0.3024774723344695,0.490886555564294,0.001
3.0,10,1.0963963134112464,1.3606925670521708,0.5886581469648562,0.39903682174162763,0.3893235573591962,0.6059106470799905,0.001
3.0,11,1.0812061892349236,1.3172462758736108,0.5591054313099042,0.4196676375635465,0.37153424566354104,0.5956778361105066,0.001
3.0,12,1.0688165594910501,1.2585130113001448,0.5099840255591054,0.4194547541372745,0.38130044425310733,0.5576692102713983,0.001
3.0,13,1.0281972042808962,1.2905423230827806,0.5287539936102237,0.4437845196758424,0.372025732218476,0.5729983339595959,0.0005
3.0,14,0.9472176869582517,1.2302598623802867,0.5207667731629393,0.464445789003479,0.37002821590673907,0.5675121813398111,0.0005
3.0,15,0.9028394664982125,1.3239854819858417,0.5227635782747604,0.4339764756127904,0.3541821406516035,0.5630480079906017,0.0005
3.0,16,0.8732314965061819,1.3359338760185546,0.5087859424920128,0.4241679493132703,0.3817079496428385,0.5670530644821081,0.00025
3.0,17,0.8413835983855165,1.4540213106539304,0.33985623003194887,0.35243241883910736,0.29736109293351454,0.4022241926119193,0.00025
