epoch,train_loss,split,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1,lr
1,2.2855086857482934,validation,1.9828746943428113,0.3913738019169329,0.3340851132085856,0.2300816846519031,0.33565869933686576,0.001
2,1.9771044850349426,validation,1.841485117951902,0.4416932907348243,0.37505243595242505,0.3121226370943391,0.45376179660280513,0.001
3,1.8781140788766733,validation,1.7144376127102885,0.5011980830670927,0.4036846682669391,0.33035929689963894,0.5037469607484286,0.001
4,1.7776587249956715,validation,1.7144292052180623,0.5167731629392971,0.4144973606752769,0.35778538731768694,0.5451087185069169,0.001
5,1.7268971835302003,validation,1.729008405734175,0.5087859424920128,0.4316966950111213,0.3639293539314272,0.547663213537533,0.001
6,1.6605873706831427,validation,1.6807781823526937,0.5507188498402555,0.4332796156820833,0.3749778155376776,0.5647461574507903,0.001
7,1.5985672772888968,validation,1.6353900086003752,0.5603035143769968,0.4337376638368359,0.3669632272848519,0.5722789196933097,0.001
8,1.5659781031286601,validation,1.6313784442389736,0.5503194888178914,0.41924550230168445,0.37820480360527137,0.5765158508878817,0.001
9,1.5114187966205683,validation,1.6862335903956867,0.4836261980830671,0.45088527481979324,0.36532453110600094,0.5277614319255086,0.001
10,1.4764680862426758,validation,1.5197561868844323,0.6118210862619808,0.439076618836648,0.4122040613972498,0.6233058590417379,0.001
11,1.4160177361735193,validation,1.6371676502898098,0.555111821086262,0.4583828907361452,0.4004296415519353,0.5817119317719746,0.001
12,1.3751435280325328,validation,1.61100223060614,0.5295527156549521,0.45600185567698803,0.3735766665302316,0.5498199448521536,0.001
13,1.3468363077598369,validation,1.658168187156653,0.5439297124600639,0.40304789964393023,0.38195820504458766,0.5788747935021774,0.0005
14,1.2157773639755234,validation,1.6049753676969023,0.5794728434504792,0.44535840541350713,0.4115697808317466,0.6051663066847119,0.0005
15,1.1737221848830532,validation,1.6084578216266328,0.5583067092651757,0.4617793991091123,0.41078022605305686,0.585997778527485,0.0005
16,1.1269067332292293,validation,1.565392416887009,0.5922523961661342,0.49447367056611213,0.42402386531779623,0.6151972670959635,0.0005
17,1.0953458474763336,validation,1.5777860937027124,0.5758785942492013,0.4909186369682811,0.41491904251022405,0.6055804553305525,0.0005
18,1.0446520962084604,validation,1.5928912078991484,0.5938498402555911,0.4508274736072633,0.42574788240883393,0.6162518530395799,0.0005
19,1.0328752270561323,validation,1.5570282540001428,0.6138178913738019,0.4809214233787439,0.4398390937579304,0.627512208290934,0.0005
20,1.0001432906680552,validation,1.5982238589384306,0.5806709265175719,0.46635315246774517,0.41864485817314195,0.6048182483787197,0.0005
21,0.9870266711692718,validation,1.6031239756380027,0.603035143769968,0.45772220927154084,0.42096279848161655,0.6224379484069481,0.0005
22,0.9683256787502498,validation,1.6567699094169057,0.6062300319488818,0.4626839807945196,0.4143257896493344,0.6210814925957897,0.00025
23,0.8482558103188441,validation,1.6277382354766796,0.5950479233226837,0.4625462915088939,0.42774074651564475,0.6220177679071995,0.00025
24,0.8360617504338359,validation,1.6445622505090487,0.5994408945686901,0.4628844937256275,0.4228630877014223,0.6175946373770876,0.00025
25,0.8047800647196662,validation,1.693220759352175,0.5954472843450479,0.46443798387203655,0.42189163159767323,0.6178266301135428,0.000125
26,0.7517534795178286,validation,1.7280174250039049,0.6114217252396166,0.44612498347144425,0.41944758225793655,0.6282332587288412,0.000125
